model,MAE,RMSE,R2
baseline_dummy,0.9685945399393326,1.3794182927954677,-0.00030208037167755997
linear_regression,0.9657071520665462,1.378452027707167,0.001098826739077241
random_forest,0.8388992248062016,1.2010736343762598,0.24163465784184046
